symbol_binance,symbol_common,class,name,listing_date,description,exclude,exclude_reason,classification_note
SANDUSDT,SAND,GameFi,SAND,2023-01-01,Gaming ecosystem token associated with SAND; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
SLPUSDT,SLP,GameFi,SLP,2023-01-01,Gaming ecosystem token associated with SLP; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
TLMUSDT,TLM,GameFi,TLM,2023-01-01,Gaming ecosystem token associated with TLM; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
VOXELUSDT,VOXEL,GameFi,VOXEL,2023-01-01,Gaming ecosystem token associated with VOXEL; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
XAIUSDT,XAI,GameFi,XAI,2024-01-09,Gaming ecosystem token associated with XAI; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
YGGUSDT,YGG,GameFi,YGG,2023-01-01,Gaming ecosystem token associated with YGG; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
ADAUSDT,ADA,L1,ADA,2023-01-01,"Native token of the ADA base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ALGOUSDT,ALGO,L1,ALGO,2023-01-01,"Native token of the ALGO base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ATOMUSDT,ATOM,L1,ATOM,2023-01-01,"Native token of the ATOM base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
AVAXUSDT,AVAX,L1,AVAX,2023-01-01,"Native token of the AVAX base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
BNBUSDT,BNB,L1,BNB,2023-01-01,"Native token of the BNB base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
BTCUSDT,BTC,L1,BTC,2023-01-01,"Native token of the BTC base-layer blockchain (Proof of Work); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
DOTUSDT,DOT,L1,DOT,2023-01-01,"Native token of the DOT base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
EOSUSDT,EOS,L1,EOS,2022-12-15,"Native token of the EOS base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ETCUSDT,ETC,L1,ETC,2023-01-01,"Native token of the ETC base-layer blockchain (Proof of Work); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ETHUSDT,ETH,L1,ETH,2023-01-01,"Native token of the ETH base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ICPUSDT,ICP,L1,ICP,2023-01-01,"Native token of the ICP base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
LTCUSDT,LTC,L1,LTC,2023-01-01,"Native token of the LTC base-layer blockchain (Proof of Work); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
NEOUSDT,NEO,L1,NEO,2023-01-01,"Native token of the NEO base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
SOLUSDT,SOL,L1,SOL,2023-01-01,"Native token of the SOL base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
TONUSDT,TON,L1,TON,2024-08-08,"Native token of the TON base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
TRXUSDT,TRX,L1,TRX,2023-01-01,"Native token of the TRX base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
XLMUSDT,XLM,L1,XLM,2023-01-01,"Native token of the XLM base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
XMRUSDT,XMR,L1,XMR,2022-12-15,"Native token of the XMR base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
XRPUSDT,XRP,L1,XRP,2023-01-01,"Native token of the XRP base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
XTZUSDT,XTZ,L1,XTZ,2023-01-01,"Native token of the XTZ base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
0GUSDT,0G,L2,0G,2025-09-22,"Governance and utility token for the 0G in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
AUSDT,A,L2,A,2025-05-28,"Governance and utility token for the A in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ACAUSDT,ACA,L2,ACA,2023-01-01,"Governance and utility token for the ACA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
AEVOUSDT,AEVO,L2,AEVO,2024-03-13,"Governance and utility token for the AEVO in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
APTUSDT,APT,L2,APT,2022-10-19,"Governance and utility token for the APT in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ARBUSDT,ARB,L2,ARB,2023-03-23,"Governance and utility token for the ARB in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ARDRUSDT,ARDR,L2,ARDR,2023-01-01,"Governance and utility token for the ARDR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ARKUSDT,ARK,L2,ARK,2023-01-01,"Governance and utility token for the ARK in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ARPAUSDT,ARPA,L2,ARPA,2023-01-01,"Governance and utility token for the ARPA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ASTRUSDT,ASTR,L2,ASTR,2023-01-01,"Governance and utility token for the ASTR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
AXLUSDT,AXL,L2,AXL,2024-03-01,"Governance and utility token for the AXL in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
BABYUSDT,BABY,L2,BABY,2025-04-10,"Governance and utility token for the BABY in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
BBUSDT,BB,L2,BB,2024-05-13,"Governance and utility token for the BB in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
BERAUSDT,BERA,L2,BERA,2025-02-06,"Governance and utility token for the BERA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CELOUSDT,CELO,L2,CELO,2023-01-01,"Governance and utility token for the CELO in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CELRUSDT,CELR,L2,CELR,2023-01-01,"Governance and utility token for the CELR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CFXUSDT,CFX,L2,CFX,2023-01-01,"Governance and utility token for the CFX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CHRUSDT,CHR,L2,CHR,2023-01-01,"Governance and utility token for the CHR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CHZUSDT,CHZ,L2,CHZ,2023-01-01,"Governance and utility token for the CHZ in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CKBUSDT,CKB,L2,CKB,2023-01-01,"Governance and utility token for the CKB in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CTSIUSDT,CTSI,L2,CTSI,2023-01-01,"Governance and utility token for the CTSI in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
DCRUSDT,DCR,L2,DCR,2023-01-01,"Governance and utility token for the DCR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
DYMUSDT,DYM,L2,DYM,2024-02-06,"Governance and utility token for the DYM in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
EGLDUSDT,EGLD,L2,EGLD,2023-01-01,"Governance and utility token for the EGLD in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
EPICUSDT,EPIC,L2,EPIC,2025-03-13,"Governance and utility token for the EPIC in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
FLOWUSDT,FLOW,L2,FLOW,2023-01-01,"Governance and utility token for the FLOW in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
FLUXUSDT,FLUX,L2,FLUX,2023-01-01,"Governance and utility token for the FLUX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
GLMRUSDT,GLMR,L2,GLMR,2023-01-01,"Governance and utility token for the GLMR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
GNOUSDT,GNO,L2,GNO,2023-01-01,"Governance and utility token for the GNO in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
GUNUSDT,GUN,L2,GUN,2025-03-31,"Governance and utility token for the GUN in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
HBARUSDT,HBAR,L2,HBAR,2023-01-01,"Governance and utility token for the HBAR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
HEMIUSDT,HEMI,L2,HEMI,2025-09-23,"Governance and utility token for the HEMI in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
HIVEUSDT,HIVE,L2,HIVE,2023-01-01,"Governance and utility token for the HIVE in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
HOTUSDT,HOT,L2,HOT,2023-01-01,"Governance and utility token for the HOT in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ICXUSDT,ICX,L2,ICX,2023-01-01,"Governance and utility token for the ICX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
INITUSDT,INIT,L2,INIT,2025-04-24,"Governance and utility token for the INIT in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
INJUSDT,INJ,L2,INJ,2023-01-01,"Governance and utility token for the INJ in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
IOSTUSDT,IOST,L2,IOST,2023-01-01,"Governance and utility token for the IOST in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
IOTAUSDT,IOTA,L2,IOTA,2023-01-01,"Governance and utility token for the IOTA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
IOTXUSDT,IOTX,L2,IOTX,2023-01-01,"Governance and utility token for the IOTX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
KAIAUSDT,KAIA,L2,KAIA,2024-10-31,"Governance and utility token for the KAIA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
KAVAUSDT,KAVA,L2,KAVA,2023-01-01,"Governance and utility token for the KAVA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
KSMUSDT,KSM,L2,KSM,2023-01-01,"Governance and utility token for the KSM in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
LINEAUSDT,LINEA,L2,LINEA,2025-09-10,"Governance and utility token for the LINEA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
LSKUSDT,LSK,L2,LSK,2023-01-01,"Governance and utility token for the LSK in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
LUMIAUSDT,LUMIA,L2,LUMIA,2024-10-18,"Governance and utility token for the LUMIA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
LUNAUSDT,LUNA,L2,LUNA,2023-01-01,"Governance and utility token for the LUNA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
LUNCUSDT,LUNC,L2,LUNC,2023-01-01,"Governance and utility token for the LUNC in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MANTAUSDT,MANTA,L2,MANTA,2024-01-18,"Governance and utility token for the MANTA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MATICUSDT,MATIC,L2,MATIC,2022-12-15,"Governance and utility token for the MATIC in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
METISUSDT,METIS,L2,METIS,2024-03-11,"Governance and utility token for the METIS in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MINAUSDT,MINA,L2,MINA,2023-01-01,"Governance and utility token for the MINA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MOVEUSDT,MOVE,L2,MOVE,2024-12-09,"Governance and utility token for the MOVE in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MOVRUSDT,MOVR,L2,MOVR,2023-01-01,"Governance and utility token for the MOVR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
NEARUSDT,NEAR,L2,NEAR,2023-01-01,"Governance and utility token for the NEAR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
NILUSDT,NIL,L2,NIL,2025-03-24,"Governance and utility token for the NIL in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
NOMUSDT,NOM,L2,NOM,2025-10-01,"Governance and utility token for the NOM in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
NTRNUSDT,NTRN,L2,NTRN,2023-10-10,"Governance and utility token for the NTRN in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
NXPCUSDT,NXPC,L2,NXPC,2025-05-15,"Governance and utility token for the NXPC in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
OMUSDT,OM,L2,OM,2023-01-01,"Governance and utility token for the OM in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ONEUSDT,ONE,L2,ONE,2023-01-01,"Governance and utility token for the ONE in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ONTUSDT,ONT,L2,ONT,2023-01-01,"Governance and utility token for the ONT in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
OPUSDT,OP,L2,OP,2022-06-01,"Governance and utility token for the OP in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
OPENUSDT,OPEN,L2,OPEN,2025-09-08,"Governance and utility token for the OPEN in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
OSMOUSDT,OSMO,L2,OSMO,2022-10-28,"Governance and utility token for the OSMO in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
PARTIUSDT,PARTI,L2,PARTI,2025-03-25,"Governance and utility token for the PARTI in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
PHBUSDT,PHB,L2,PHB,2023-01-01,"Governance and utility token for the PHB in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
PLUMEUSDT,PLUME,L2,PLUME,2025-08-18,"Governance and utility token for the PLUME in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
POLUSDT,POL,L2,POL,2024-09-13,"Governance and utility token for the POL in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
POLYXUSDT,POLYX,L2,POLYX,2023-01-01,"Governance and utility token for the POLYX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
QKCUSDT,QKC,L2,QKC,2023-01-01,"Governance and utility token for the QKC in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
