symbol_binance,symbol_common,class,name,listing_date,description,exclude,exclude_reason,classification_note
AVAXUSDT,AVAX,Native,AVAX,2023-01-01,"Native token of the AVAX base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
BNBUSDT,BNB,Native,BNB,2023-01-01,"Native token of the BNB base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
BTCUSDT,BTC,Native,BTC,2023-01-01,"Native token of the BTC base-layer blockchain (Proof of Work); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
DOTUSDT,DOT,Native,DOT,2023-01-01,"Native token of the DOT base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
EOSUSDT,EOS,Native,EOS,2022-12-15,"Native token of the EOS base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ETCUSDT,ETC,Native,ETC,2023-01-01,"Native token of the ETC base-layer blockchain (Proof of Work); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ETHUSDT,ETH,Native,ETH,2023-01-01,"Native token of the ETH base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ICPUSDT,ICP,Native,ICP,2023-01-01,"Native token of the ICP base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
LTCUSDT,LTC,Native,LTC,2023-01-01,"Native token of the LTC base-layer blockchain (Proof of Work); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
NEOUSDT,NEO,Native,NEO,2023-01-01,"Native token of the NEO base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
SOLUSDT,SOL,Native,SOL,2023-01-01,"Native token of the SOL base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
TONUSDT,TON,Native,TON,2024-08-08,"Native token of the TON base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
TRXUSDT,TRX,Native,TRX,2023-01-01,"Native token of the TRX base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
XLMUSDT,XLM,Native,XLM,2023-01-01,"Native token of the XLM base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
XMRUSDT,XMR,Native,XMR,2022-12-15,"Native token of the XMR base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
XRPUSDT,XRP,Native,XRP,2023-01-01,"Native token of the XRP base-layer blockchain; used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
XTZUSDT,XTZ,Native,XTZ,2023-01-01,"Native token of the XTZ base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ACAUSDT,ACA,Native,ACA,2023-01-01,"Governance and utility token for the ACA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
AEVOUSDT,AEVO,Native,AEVO,2024-03-13,"Governance and utility token for the AEVO in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
APTUSDT,APT,Native,APT,2022-10-19,"Governance and utility token for the APT in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ARBUSDT,ARB,Native,ARB,2023-03-23,"Governance and utility token for the ARB in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ARDRUSDT,ARDR,Native,ARDR,2023-01-01,"Governance and utility token for the ARDR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ARKUSDT,ARK,Native,ARK,2023-01-01,"Governance and utility token for the ARK in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ARPAUSDT,ARPA,Native,ARPA,2023-01-01,"Governance and utility token for the ARPA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ASTRUSDT,ASTR,Native,ASTR,2023-01-01,"Governance and utility token for the ASTR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
AXLUSDT,AXL,Native,AXL,2024-03-01,"Governance and utility token for the AXL in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
BBUSDT,BB,Native,BB,2024-05-13,"Governance and utility token for the BB in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CELOUSDT,CELO,Native,CELO,2023-01-01,"Governance and utility token for the CELO in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CELRUSDT,CELR,Native,CELR,2023-01-01,"Governance and utility token for the CELR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CFXUSDT,CFX,Native,CFX,2023-01-01,"Governance and utility token for the CFX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CHRUSDT,CHR,Native,CHR,2023-01-01,"Governance and utility token for the CHR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CHZUSDT,CHZ,Native,CHZ,2023-01-01,"Governance and utility token for the CHZ in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CKBUSDT,CKB,Native,CKB,2023-01-01,"Governance and utility token for the CKB in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
CTSIUSDT,CTSI,Native,CTSI,2023-01-01,"Governance and utility token for the CTSI in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
DCRUSDT,DCR,Native,DCR,2023-01-01,"Governance and utility token for the DCR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
DYMUSDT,DYM,Native,DYM,2024-02-06,"Governance and utility token for the DYM in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
EGLDUSDT,EGLD,Native,EGLD,2023-01-01,"Governance and utility token for the EGLD in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
FLOWUSDT,FLOW,Native,FLOW,2023-01-01,"Governance and utility token for the FLOW in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
FLUXUSDT,FLUX,Native,FLUX,2023-01-01,"Governance and utility token for the FLUX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
GLMRUSDT,GLMR,Native,GLMR,2023-01-01,"Governance and utility token for the GLMR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
GNOUSDT,GNO,Native,GNO,2023-01-01,"Governance and utility token for the GNO in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
HBARUSDT,HBAR,Native,HBAR,2023-01-01,"Governance and utility token for the HBAR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
HIVEUSDT,HIVE,Native,HIVE,2023-01-01,"Governance and utility token for the HIVE in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
HOTUSDT,HOT,Native,HOT,2023-01-01,"Governance and utility token for the HOT in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ICXUSDT,ICX,Native,ICX,2023-01-01,"Governance and utility token for the ICX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
INJUSDT,INJ,Native,INJ,2023-01-01,"Governance and utility token for the INJ in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
IOSTUSDT,IOST,Native,IOST,2023-01-01,"Governance and utility token for the IOST in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
IOTAUSDT,IOTA,Native,IOTA,2023-01-01,"Governance and utility token for the IOTA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
IOTXUSDT,IOTX,Native,IOTX,2023-01-01,"Governance and utility token for the IOTX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
KAIAUSDT,KAIA,Native,KAIA,2024-10-31,"Governance and utility token for the KAIA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
KAVAUSDT,KAVA,Native,KAVA,2023-01-01,"Governance and utility token for the KAVA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
KSMUSDT,KSM,Native,KSM,2023-01-01,"Governance and utility token for the KSM in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
LSKUSDT,LSK,Native,LSK,2023-01-01,"Governance and utility token for the LSK in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
LUMIAUSDT,LUMIA,Native,LUMIA,2024-10-18,"Governance and utility token for the LUMIA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
LUNAUSDT,LUNA,Native,LUNA,2023-01-01,"Governance and utility token for the LUNA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
LUNCUSDT,LUNC,Native,LUNC,2023-01-01,"Governance and utility token for the LUNC in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MANTAUSDT,MANTA,Native,MANTA,2024-01-18,"Governance and utility token for the MANTA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MATICUSDT,MATIC,Native,MATIC,2022-12-15,"Governance and utility token for the MATIC in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
METISUSDT,METIS,Native,METIS,2024-03-11,"Governance and utility token for the METIS in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MINAUSDT,MINA,Native,MINA,2023-01-01,"Governance and utility token for the MINA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MOVEUSDT,MOVE,Native,MOVE,2024-12-09,"Governance and utility token for the MOVE in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
MOVRUSDT,MOVR,Native,MOVR,2023-01-01,"Governance and utility token for the MOVR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
NEARUSDT,NEAR,Native,NEAR,2023-01-01,"Governance and utility token for the NEAR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
NTRNUSDT,NTRN,Native,NTRN,2023-10-10,"Governance and utility token for the NTRN in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
OMUSDT,OM,Native,OM,2023-01-01,"Governance and utility token for the OM in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ONEUSDT,ONE,Native,ONE,2023-01-01,"Governance and utility token for the ONE in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ONTUSDT,ONT,Native,ONT,2023-01-01,"Governance and utility token for the ONT in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
OPUSDT,OP,Native,OP,2022-06-01,"Governance and utility token for the OP in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
OSMOUSDT,OSMO,Native,OSMO,2022-10-28,"Governance and utility token for the OSMO in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
PHBUSDT,PHB,Native,PHB,2023-01-01,"Governance and utility token for the PHB in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
POLUSDT,POL,Native,POL,2024-09-13,"Governance and utility token for the POL in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
POLYXUSDT,POLYX,Native,POLYX,2023-01-01,"Governance and utility token for the POLYX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
QKCUSDT,QKC,Native,QKC,2023-01-01,"Governance and utility token for the QKC in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
QTUMUSDT,QTUM,Native,QTUM,2023-01-01,"Governance and utility token for the QTUM in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
REIUSDT,REI,Native,REI,2023-01-01,"Governance and utility token for the REI in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
RIFUSDT,RIF,Native,RIF,2023-01-01,"Governance and utility token for the RIF in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
RONINUSDT,RONIN,Native,RONIN,2024-02-05,"Governance and utility token for the RONIN in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
ROSEUSDT,ROSE,Native,ROSE,2023-01-01,"Governance and utility token for the ROSE in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
SAGAUSDT,SAGA,Native,SAGA,2024-04-09,"Governance and utility token for the SAGA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
SCRUSDT,SCR,Native,SCR,2024-10-22,"Governance and utility token for the SCR in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
SCRTUSDT,SCRT,Native,SCRT,2023-01-01,"Governance and utility token for the SCRT in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
SEIUSDT,SEI,Native,SEI,2023-08-15,"Governance and utility token for the SEI in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
SKLUSDT,SKL,Native,SKL,2023-01-01,"Governance and utility token for the SKL in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
STRAXUSDT,STRAX,Native,STRAX,2023-01-01,"Governance and utility token for the STRAX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
STRKUSDT,STRK,Native,STRK,2024-02-20,"Governance and utility token for the STRK in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
STXUSDT,STX,Native,STX,2023-01-01,"Governance and utility token for the STX in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
SUIUSDT,SUI,Native,SUI,2023-05-03,"Governance and utility token for the SUI in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
SYSUSDT,SYS,Native,SYS,2023-01-01,"Governance and utility token for the SYS in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
TAOUSDT,TAO,Native,TAO,2024-04-11,"Governance and utility token for the TAO in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
THETAUSDT,THETA,Native,THETA,2023-01-01,"Governance and utility token for the THETA in a Layer 2/sidechain architecture; enables protocol governance and may relate to sequencer economics, bridging, and fee mechanisms.",False,,Assigned via curated taxonomy + Binance tags; L2 precedence over Protocol when both signals exist
